दिये ,Lamp
सम्बन्धी ,Related
पुस्तक ,Book
खुद ,Self
वर्णन ,Description
बने ,Made
जोर ,Loser
करें ,Do
लक्षण ,symptoms
नामक ,Nominated
वहीं ,There itself
तुम्हारे ,Your
विश्व ,World
शासन ,Government
वैसे ,By the way
युग ,Era
बैठ ,Seated
स्थापना ,Establishment
अर्थात ,In other words
सारा ,All
लेता ,Take
शैली ,Style
लें ,Take
पार्टी ,Party
गीत ,Song
अवसर ,Occasion
युद्ध ,war
मालूम ,Known
चारों ,All four
प्रकाश ,Light
जायेगा ,will go
बैठे ,Seated
तुम्हें ,You
समाप्त ,End
जाय ,Go
साफ ,clean
धार्मिक ,religious
ताप ,Heat
उल्लेख ,Mention
वर्तमान ,Current
लेना ,to take
थोड़ी ,Slightly
विकसित ,advanced
बन्द ,Off
प्रसिद्ध ,Famous
विशिष्ट ,Specific
प्रेम ,Love
चली ,Sustained
रखते ,Keep
भावना ,Feeling
चलता ,On
सिद्ध ,Proven
वालों ,People
चित्रों ,Images
पुरुष ,Male
पदार्थ ,Substance
चर्चा ,Discussion
खाना ,eat
उच्च ,High
इतने ,So much
दी ,Gave
दिए ,lamps
सीमा ,range
वस्तु ,Thing
पड़ी ,Lying
गति ,Speed
अत्यन्त ,Extremely
संगठन ,organization
कितना ,how much
इस्तेमाल ,Use
बाबा ,Dad
प्रकाशित ,Published
ढंग ,behaviour
अधिकार ,Right
उधर ,There
पड़े ,Lying
सके ,Sustain
सूचना ,information
अंग्रेजी ,English
सुन्दर ,Beautiful
पुनः ,Again
केंद्रीय ,Central
आधुनिक ,modern
शहर ,City 
प्रधानमंत्री ,Prime minister
ब्राह्मण ,Brahmin
उनको ,to them
महीने ,Month
अच्छे ,Good
हवा ,Air
शाम ,Evening
इधर ,here
संसार ,World
विरोध ,against
रखना ,Keep
प्रशिक्षण ,Training
संघ ,Federation
बनी ,Made
पृथ्वी ,Earth
ऊर्जा ,energy
हमने ,We
वास्तविक ,real
सहयोग ,help
तेल ,oil
अवधि ,duration
सात ,Seven
लगते ,Looks
मार्ग ,way
बंद ,Close
प्रचलित ,Prevailing
संघर्ष ,struggle
दिशा ,direction
स्थित ,Located
बैठा ,sat
वर्षों ,Years
अधिकांश ,majority of
शादी ,Marriage
वातावरण ,Climate
तुलना ,Compare
राजीव ,Rajeev
साधारण ,ordinary
सम्पूर्ण ,total
राजस्थान ,Rajasthan
सफल ,Success
कितने ,how many
वापस ,Back
मानसिक ,mental
परम्परा ,Tradition
बोले ,Speak
बीज ,Seed
खेल ,game
अंग ,Organ
बैठक ,meeting
जरूरत ,Need
इनकी ,Their
कथा ,Story
आयु ,age
बातचीत ,Conversation
प्रभावित ,Influenced
निर्धारित ,Determined
निकाल ,Out
घटना ,incident
कितनी ,How many
कवि ,Poet
रक्त ,blood
बालकों ,Boys
किसान ,Farmer
इच्छा ,desire
आयी ,Come
बजे ,time
चेहरे ,Face
गुण ,Property
आकार ,Shape
हृदय ,Heart
राज ,Rule
मार ,Kill
चुकी ,Tailed
यात्रा ,journey
नष्ट ,Destroyed
खेती ,Farming
सुबह ,Morning
नयी ,New
जिन्हें ,Whom
आरम्भ ,Launch
सुनकर ,Hearing
वायु ,Wind
नजर ,vision
थोड़ा ,Little
खाली ,empty
ॐ ,Om
खोज ,Search
एकदम ,At once
व्यक्तियों ,Individuals
राजनीतिक ,Political
आँखें ,eyes
संबंधित ,regarding
तेज ,Quick
जरा ,just
व्यक्तित्व ,the personality
बदल ,change
सवाल ,Question
उपभोक्ता ,Consumer
उपज ,Yield
सुख ,Happiness
मानते ,Believe
मकान ,House
तेजी ,Rapid
जुलाई ,july
प्रयत्न ,try
देवता ,God
जानते ,Know
कपड़े ,clothes
संभव ,possible
सकता ,can
मदद ,help
वास्तव ,Reality
निकट ,Close
चलते ,Go
बाकी ,Remainder
सोच ,Thinking
समस्त ,All
सदस्य ,Member
कठिन ,Rigorous
अरे ,Oho
राज्यों ,States
नया ,new
सीधे ,Straight
फूल ,flower
किस्म ,Variety
अभाव ,Lack
जरूरी ,Necessary
सेना ,army
श्रम ,Labour
विदेशी ,Foreigner
बाल ,Hair
पुराने ,Old
किंतु ,But
विस्तार ,Detailed
जाएगी ,Will go
छोटा ,Small
वनस्पति ,Vegetable
खर्च ,Expense
पार ,Cross
अधिकारी ,entitled
चलने ,Walking
आशा ,hope
सुधार ,Improvement
विशाल ,vast
पूर्ति ,Supply
डाल ,Branch
जानता ,knows
महसूस ,Feel
बोल ,Lyrics
प्रतीत ,Appear
अध्यक्ष ,President
सीखने ,Learn
वर्ण ,Character
व्यापक ,Comprehensive
भविष्य ,future
ध्वनि ,Sound
प्रयुक्त ,Used
प्रचार ,Publicity
प्यार ,Love
शिक्षण ,Teaching
शेष ,remaining
मार्च ,march
दुनिया ,world
ख्याल ,Care
प्रगति ,progress
गैस ,Gas
लगातार ,Continuously
तौर ,Form
उन्हीं ,They
सुरक्षित ,safe
सभा ,Meeting
लौट ,Back
लागत ,cost
बनाये ,Made
दर्द ,Pain
आखिर ,Finally
सोचा ,Think
दें ,Give
चीज ,Thing
कल्पना ,fancy
लक्ष्य ,Target
चाय ,Tea
खूब ,Plenty
श्रीमती ,mrs
लाने ,Bring
मुक्त ,Free
बुद्धि ,wisdom
पश्चिम ,west
खेत ,Farm
होनी ,Having
चाहती ,Want
उपयुक्त ,fit
अंत ,Ending
साधन ,means
संकेत ,clue
वस्तुओं ,Objects
मामले ,Case
बनाकर ,By making
सहज ,Simple
सदा ,Always
शारीरिक ,Body
पकड़ ,Hold
उपाय ,Measure
संस्थान ,Institute
सफलता ,Success
बाबू ,Baboo
तुम्हारी ,Your
भूल ,Forget
आत्मा ,soul
विचारों ,Ideas
रखी ,Laid
भूमिका ,Role
पैर ,feet
करे ,Do
हाथों ,Hand
भवन ,Building
नियम ,rules
दिल ,Heart
तकनीकी ,technology
जिसकी ,Whose
शिशु ,Infant
व्यय ,Expense
पेट ,Abdomen
नींद ,Sleep
नेताओं ,Leaders
अंदर ,Inside
लागू ,Applicable
बनने ,Form
त्वचा ,skin
गायन ,Singing
राजनीति ,Politics
जमा ,Deposit
सुविधा ,Facility
बोर्ड ,Board
कानून ,Law
शुरु ,Start
लेखक ,Author
बावजूद ,Despite
क्रम ,Order
लगने ,Settling
तुमने ,You
हाल ,Condition
सम्भव ,Probable
स्टेशन ,station
अगले ,Next
रास्ते ,Way
मस्तिष्क ,Brain
गर्म ,warm
संबंधी ,relative
यानी ,i.e
पुरानी ,Old
चित्रण ,Illustration
अधिकारियों ,Officers
संस्कृत ,Sanskrit
सुन ,Listen
युवक ,young boy
पाठ ,"Lesson, "
स्थानों ,Places
वर्षा ,Rain
रखकर ,By keeping
पशु ,cattle
किसानों ,Farmers
सत्ता ,Power
प्राप्ति ,Receipt
दवा ,medicine
खास ,Special
कमेटी ,Committee
अंक ,score
हानि ,Loss
सरल ,easy
सिंचाई ,Irrigation
शिकार ,Hunt
वृक्ष ,Tree
करेंगे ,will do
औद्योगिक ,Industrial
आधारित ,based
हत्या ,the killing
सहकारी ,Co -operative
विवरण ,Description
रोज ,Daily
मुझसे ,with me
आना ,To come
मौसम ,Season
आँखों ,Eyes
शुद्ध ,Pure
भेद ,Difference
विपरीत ,Adverse
लम्बी ,Long
बनाना ,make
दृष्टिकोण ,Approach
गलत ,Wrong
समर्थन ,Support
सम्मेलन ,the seminar
सचमुच ,Really
बुद्ध ,Buddha
बच्चा ,Child
दीवार ,Wall
आंखों ,Eyes
अध्याय ,Chapter
अत्यधिक ,Excessive
सहित ,Including
योग ,Total
मुख ,Face
बिहार ,A state in Eastern India
काव्य ,Poetry
सिद्धांत ,Theory
सार्वजनिक ,Public
लघु ,Small
बता ,Tell
परस्पर ,Mutually
तार ,Wire
चूर्ण ,Powder
आयोजन ,events
सांस्कृतिक ,Cultural
समझने ,To understand
वाद्य ,Instrumental
प्रतीक ,Sign 
तुम्हारा ,Your 
छात्र ,student
चुप ,Mute
अक्सर ,often
जायेगी ,Will go
रखे ,Keep
भार ,Burden
फलों ,Fruit
जीवित ,Living
आजकल ,now-a-days
विस्तृत ,comprehensive
गिर ,Gir
गुरू ,Guru
खाद्य ,Food
उतर ,North
अमेरिका ,America
सुना ,heard
स्थानीय ,Local
विषयों ,Subjects
घंटे ,hours
कराने ,Conduct
उतना ,So much
शताब्दी ,Century
व्यवसाय ,occupation
मंदिर ,Temple
परिचय ,Introduction
गांवों ,Villages
बाँध ,dam
निश्चय ,Surety
उपकरण ,equipment
आतंकवादियों ,Militant
वैदिक ,Vedic
भागों ,Parts
अंश ,Part
सूत्र ,Formula
विविध ,Diverse
बारह ,Twelve
फलस्वरूप ,Consequently
काट ,cutting
अधिकतर ,mostly
स्वाभाविक ,Natural
वाक्य ,sentence
बैठी ,Sitting
परिस्थितियों ,Circumstances
सूर्य ,Sun
शत्रु ,enemy
पत्तियों ,Leaves
नियोजन ,Planning
ग्रन्थ ,Book
कही ,Somewhere
उम्र ,Age
अग्नि ,Fire
सिख ,Sikh
बाप ,father
पाकिस्तान ,Pakistan
पश्चात् ,Later
चिन्ता ,Fanciful
आयोजित ,Held
वाद्यों ,Instruments
मुसलमान ,Muslim
भेज ,Sending
बैंक ,Bank
नारी ,Woman
अंतिम ,The last
समुद्र ,Sea
संग्रह ,Collection
लेती ,Take
दृश्य ,Scene
खाद ,Fertilizer
आलोचना ,Criticism
हैक्टर ,Hectare
विरोधी ,Opponent
पश्चिमी ,Western
धान ,Rice 
डाक ,post
कदम ,Step
आकाश ,sky
स्थायी ,permanent
वितरण ,delivery
वंश ,Linage
रोक ,Stop
प्रेरणा ,Inspiration
चीनी ,Sugar
औरत ,women
अप्रैल ,april
अनिवार्य ,mandatory
सकें ,Can
महिला ,Woman
पहचान ,Identification
क्रमशः ,Respectively
सैनिक ,soldier
वजह ,Reason
लकड़ी ,wood
रुपये ,Rupees
बढ़ा ,Raised
पीठ ,Back
पाई ,Pie
डाक्टर ,Doctor
सम्पर्क ,Contact
वीं ,Genuine
माननीय ,Honourable
मूल्यांकन ,evaluation
गाय ,cow
क्षण ,Moment
हालत ,condition
संदर्भ ,Reference
बीस ,Twenty
दोष ,Shortcoming
जीव ,Life
चित्रित ,Painted
खान ,Mine
खुशी ,Happiness
रोजगार ,Employment
रिपोर्ट ,Report
मंत्रालय ,Ministry
प्राथमिक ,primary
प्रदर्शित ,Displayed
धारणा ,perception
ताल ,rythm
जंगल ,Forest
सका ,could
यान ,Vanity
उपक्रम ,Enterprise
अंकित ,Ankit
शिव ,Shiv
त्याग ,Sacrifice
जिसने ,Whosoever
गरम ,Hot
समाचार ,news
शाखा ,Branch
बुरी ,Bad
डाला ,Pouring
जून ,june
ज्ञात ,Known
गर्भ ,Pregnancy
कर्मचारियों ,Employees
मामलों ,Matters
बजाय ,instead
तरीके ,Manner
आदर्श ,Ideal
हिस्सा ,stake
संरचना ,structure
स्पर्श ,Touch
जनवरी ,January
चित्रकला ,drawing
चरित्र ,character
क्षेत्रीय ,Regional
क्यू ,Why
रखता ,Keeps
बिक्री ,Sales
पुस्तकों ,Books
निर्मित ,made
जैन ,Jain
गले ,Throat
ग्रा ,Gram
खराब ,Bad
करो ,Do
कक्षा ,Class
आश्चर्य ,Wonder
रास्ता ,Way 
युक्त ,Rich
बनाए ,Make
बेटा ,Son
बेटे ,Son
प्रबन्ध ,Managing
निम्नलिखित ,Following
चेहरा ,face
अर्जुन ,Arjuna
सम्मान ,Respect
यथार्थ ,Reality
बहू ,Daughter in law
ध्वनियों ,Sounds
जिन्होंने ,Who
छाया ,shadow
खबर ,News
संकट ,crisis
बेटी ,daughter
पशुओं ,Animals
अति ,Extreme
समझता ,Understand
रोकने ,Stop
भक्ति ,Devotion
दशा ,Condition
चलती ,Moving
घास ,Grass
कथन ,Statement
सामान ,Belongings
मजदूरी ,Wage
भरी ,Stuffed
बिलकुल ,Absolutely
दूसरों ,Others
गरीब ,Poor
अस्तित्व ,Existence
अकेले ,Lonely
सौन्दर्य ,Beauty
साहसी ,Daring
समझते ,Understand
विद्युत ,Electricity
लिखी ,Written
नाटक ,play
धूप ,sunshine
दरवाजे ,Doors
कमजोर ,Weak
आदत ,habit
सम्प्रदाय ,Sect
शोध ,Research
वीर ,Daring
रुपया ,Rupee
मौत ,Death
भले ,Good
प्रसन्न ,Happy
निजी ,private
जातियों ,Castes
गीतों ,Songs
कीट ,Insect
उतनी ,So much
अभ्यास ,practice
रंगों ,Colors
मान्यता ,assumption
मजबूत ,Strong
भीड़ ,crowd
नियमों ,Rules
उठता ,Arms
आनन्द ,Joy
विष ,Poison
प्र ,Soul
तमाम ,All
चिन्ह ,Sign
स्थिर ,Stable
शराब ,wine
वैज्ञानिकों ,Scientists
पहुंचा ,reached up
नियमित ,Regular
नवीन ,latest
गहरी ,Deep
ऊष्मा ,Heat
उत्तम ,Excellent
शास्त्र ,ethology
माह ,Month
मालिक ,Owner
भला ,Good
भरे ,Filled
बनाई ,Prepared
गरीबी ,poverty
आन्दोलन ,Movement
विद्या ,Knowledge
पारिवारिक ,Family
तोड़ ,the break
चीजें ,Things
कठोर ,Harsh
अनुपात ,ratio
हरियाणा ,Haryana
सम्पन्न ,Rich
विधान ,Legislation
राय ,opinion
तुरन्त ,Immediately
आपस ,Utterance
अधीन ,Subordinate
शिक्षक ,Teacher
विजय ,victory
लेख ,article
महोदय ,Sir
भी ,also
फरवरी ,February
पित्त ,Bile
प्रत्यक्ष ,Prima facie
तर्क ,Argument
जेल ,Jail
चुपचाप ,Silently
करा ,Kara
अनुकूल ,Friendly
विष्णु ,Vishnu
यों ,Like
भूख ,hunger
बांस ,bamboo
बनता ,Manufacture
बनकर ,be made
बैठकर ,Seated
पात्र ,Pot
पूर्वी ,East
कठिनाई ,Difficulty
इत्यादि ,And so on
सदस्यों ,Members
मूत्र ,Urine
भरा ,full
बुरा ,bad
घोषणा ,announcement
खोल ,Shell
खुश ,Happy 
खेतों ,Fields
कोश ,Thesaurus
उपस्थित ,Present
अभिव्यक्ति ,Expression
श्रेष्ठ ,Best 
नाग ,snake
नाक ,nose
जाता ,go
छूट ,discount
घरों ,Houses
खून ,Blood
करेगा ,Will do
उतार ,Unloaded
अपराध ,crime
अधिनियम ,Act
साहस ,courage
सर्वप्रथम ,the very first
पढ़ाई ,Reading
दिखायी ,Visible
दुख ,Sadness
अगस्त ,august
साथी ,mate
सक्रिय ,active
पढ़ने ,Reading
पढ़ ,Read
चालू ,Working
आधा ,half
समितियों ,Committees
सूची ,List
विवेचन ,Deliberation
मनोविज्ञान ,Psychology
पहुंचे ,Reached
पुस्तकें ,Books
किशोरी ,teenager
इस्पात ,steel
सामना ,Cope
व्याख्या ,explanation
फुट ,Foot
दिमाग ,mind
कर्मचारी ,Staff
असर ,effect
अफसर ,Officer
सतह ,Surface
विचित्र ,strange
बैल ,ox
तहत ,Under
केन्द्रों ,Centers
अम्ल ,Acid
संरक्षण ,protection
सुनने ,Listen
वाणी ,Voice
लोहे ,Iron
यंत्र ,Machine
भाषाविज्ञान ,language science
बोलने ,Speaking
बोध ,Perception
प्रकाशन ,Publication
टूट ,break
चरक ,Charak
खाते ,Account
कान ,Ear
उद्योगों ,Industries
आक्रमण ,Invasion
अंग्रेजों ,British
संभावना ,prospect
यथा ,As
भेजा ,Sent
बनाते ,Create
नरेश ,Naresh
दो ,two
चोरी ,theft
चित्रकार ,Painter
कहे ,saying
स्वतन्त्र ,Independent
सूरज ,sun
सूक्ष्म ,Micro
विशेषता ,Speciality
लिख ,Write
मास ,Mass
पंचायत ,jury
चरण ,phase
गली ,Street
खुले ,Open
कुर्सी ,Chair
सन्दर्भ ,Reference
स्त्रोत ,Source
वर्गीकरण ,Classification
महाभारत ,Mahabharata
फैल ,Spreading
पेश ,Present
प्रौद्योगिकी ,Technology
पुराण ,Purana
निर्धारण ,Determination
चीन ,China
शिकायत ,complaint
विद्यालय ,School
वस्तुतः ,Virtually
लाया ,brought
बहन ,Sister
पक्षी ,Bird
निर्यात ,Export
ना ,No
जाये ,Go
ज्यों ,As
चक्कर ,Dizziness
गोली ,Gun Shot
कल्याण ,welfare
क्रोध ,Anger
कराया ,Done
इंका ,Inka
सीधा ,straight
संचार ,communication
विरुद्ध ,Opposite
विद्वानों ,Scholars
लम्बे ,Long
भुगतान ,the payment
तुझे ,You
चयन ,Selection
घोड़े ,Horses
उच्चारण ,pronunciation
सोने ,Gold
मौका ,Opportunity
मोटे ,fatty
भाषण ,lecture
निकला ,Out
देवताओं ,Gods
उत्पत्ति ,Produce
शहरी ,urban
शक्ति ,Power
राष्ट्रपति ,president
महाराज ,King
मन्दिर ,Mandir
इन्द्र ,Indra
अपेक्षित ,expected
अंतर्गत ,Under
अजीब ,weird
संस्कार ,Secrament
समाधान ,Solution
शूल ,Shool
लिखे ,Wrote
रहेगा ,Will be
रमेश ,Ramesh
जड़ ,Root
अधिगम ,Learning
सर्वाधिक ,Most
मानता ,agrees
मन्त्री ,Minister
बाढ़ ,flood
बजट ,budget
नुकसान ,Harm
थोड़े ,A little
जाल ,Net
जानने ,Learn
कम्पनी ,Company
कक्ष ,Chamber
उपकरणों ,Devices
उत्पन्न ,Yield
उठकर ,By getting up
इसको ,It
साम्राज्य ,Empire
संशोधन ,Amendment
राजाओं ,Kings
पसन्द ,Paste
छात्रों ,Students
गहरा ,Deep
किलोग्राम ,Kilogram
कालेज ,College
उल्लेखनीय ,Remarkable
उपलब्धि ,achievement
उत्साह ,excitement
मजदूर ,Labour
प्रार्थना ,Prayer
छिड़काव ,Spraying
समुदाय ,Community
शोथ ,Inflammation
लोरिक ,Lorik
बौद्ध ,Buddhist
बाग ,Garden
बचा ,Left out
पहाड़ी ,Hill
प्रोत्साहन ,Incentive
प्रबल ,Predominant
पदार्थों ,Substances
पूंजी ,Finance
जगत ,Universe
घोल ,Pellet
एकता ,Unity
सोचने ,Think
सामान्यतः ,Generally
स्वतंत्रता ,Freedom
वित्तीय ,financial
मानकर ,Assuming
भौतिक ,Physical
पाठ्यक्रम ,Syllabus
परिणामस्वरूप ,the resulting
पर्वत ,Mountain
तलाश ,search
गोद ,Lap
गांधीजी ,Gandhiji
का ,Of
अन्तर्राष्ट्रीय ,International
सहन ,tolerate
शेर ,Lion
वैसा ,Like this
वस्त्र ,Clothes
लक्ष्मी ,Laxmi
रूक ,Stroke
मुक्ति ,Freedom
प्रोटीन ,Protein
चलकर ,By walking
गंभीर ,serious
आधी ,Half
अंकन ,Marking
हिंदी ,Hindi
शान्त ,Shant
शांति ,peace
वर्गों ,Classes
वृक्षों ,Trees
रोगों ,Diseases
बम्बई ,Bombay
प्रथा ,Practice
चीजों ,Things
अतएव ,So
सकती ,Can
महिलाओं ,Women
बाह्य ,External
प्रेरित ,Inspired
निहित ,Implied
दिखाया ,Shown
डालने ,Pouring
डेढ़ ,One and a half
गैर ,Non -
सम्पत्ति ,Property
श्रद्धा ,Admiration
वार्ता ,Dialogue
लड़कों ,Boys
मानने ,To accept
मुझ ,Me
नमक ,Salt
छवि ,image
चाचा ,uncle
चलो ,Let's go
करेगा ,Will do
हिमाचल ,Himachal
स्मिता ,Smita
स्थल ,Site
रखती ,Keeps
रकम ,cost
पहुंचने ,Reach
नाना ,Grandfather
दरवाजा ,Door
दुकान ,shop
ठोस ,concrete
जेब ,Pocket
चिन्तन ,Thinking
गर्मी ,Heat
खरीद ,Purchase
क्रांति ,revolution
ऋतु ,Season
सुनाई ,Hearing
विद्यालयों ,Schools
लिखने ,Write
लखनऊ ,Lucknow
राग ,Raga
बरस ,Year
ब्रज ,Braj
पश्चात ,Subsequent
डाली ,branch
गृह ,home
अकाली ,Akali
सावधानी ,caution
सेवन ,Consumption
स्वतन्त्रता ,Independence
शून्य ,Zero
विद्यार्थियों ,students
मोटी ,fat
भ्रष्टाचार ,Corruption
देह ,Body
तेरे ,Your
कार्रवाई ,Action
कार्यवाही ,Proceeding
इस्लाम ,Islam
आश्रम ,Hermitage
आकर्षण ,Attraction
हिस्से ,Parts
सम्राट ,King
परेशान ,upset
परम्परागत ,Traditional
दिसम्बर ,December
जनसंख्या ,Population
घोषित ,Declared
ऋषि ,Sage
अखबार ,Newspaper
रूपों ,Forms
भस्म ,Ash
बगल ,Next
परिस्थिति ,Situation
निगम ,Corporation
नारायण ,Narayan
तुरंत ,immediately
ढोला ,Dhola
डालकर ,By putting
चावल ,Rice
गणेश ,Ganesha
कार्यक्रमों ,Programs
उठी ,Got up
ईश्वर ,God
आतंकवादी ,Terrorist
आँख ,eye
अदालत ,court
होटल ,hotel
हार ,Defeat
हजारों ,Thousands
संदेह ,doubt
संक्षिप्त ,Short
विद्वान ,Scholar
व्रत ,fast
महत्व ,Importance
भयंकर ,Terrifying
बेहतर ,Better
ब्रिटिश ,British
प्रिय ,Dear
नियुक्त ,Appointed
गम्भीर ,Serious
उक्त ,Extended
अमल ,Execution
हवाई ,airy
हरे ,Green
स्वर्णमंदिर ,Golden temple
ली ,Took
मामला ,Case
मछली ,fish
बचपन ,Childhood
बैंकों ,Banks
पान ,Paan
प्राण ,Life
प्रतिक्रिया ,feedback
जीवाणु ,Bacteria
छाती ,Chest
गढ़वाल ,Garhwal
खुला ,open
कार ,car
क्रियाओं ,Actions
अम्मा ,Mother
अंगों ,Organs
सन्देह ,Doubt
विवाद ,dispute
लड़कियों ,Girls
बाहरी ,external
बारी ,Turn
प्लेग ,plague
पुरुष ,Male
दोपहर ,afternoon
तमिल ,Tamil
चौधरी ,Chieftain
आचरण ,the manner
अनाज ,Cereal
ही ,Sole
सिरे ,Tip
साढ़े ,Half -and -a -half
संयोग ,a coincidence
विमर्श ,Discussion
विधियों ,Methods
व्यावहारिक ,practical
वचन ,promise
रात्रि ,Night
भावों ,Expressions
भेंट ,Gift
बुआई ,Sowing
पैरों ,Legs
पुराना ,old
प्रतीक्षा ,Wait
पत्रों ,Letters
पड़ेगा ,Will have
जाओ ,Go
किस्मों ,Varieties
किन ,Kin
उठे ,Got up
आचार्य ,Teacher
आई ,I
अफ्रीका ,Africa
अतीत ,Past
हल्के ,Mild
सागर ,sea
शाह ,Shah
शान्ति ,Peace
विदेश ,Foreign
वजन ,Weight
लाखों ,Millions
प्रारंभ ,Start
प्राणियों ,Creatures
निर्देश ,instructions
दावा ,Claim
दे ,Give
चाहा ,Wanted
उदास ,Downhearted
उत्तरी ,Northern
असली ,Real
हिम्मत ,Courage
हरी ,Greenery
स्नेह ,love
शासक ,ruler
बदले ,Change
बचाने ,Save
प्रतिनिधि ,Representative
दरअसल ,Actually
देखभाल ,Care
तने ,Stem
